equipment_unit_id,equipment_id,serial_number,purchase_date,last_maintenance,condition
41,1,SE-LT-01-000041,2019-06-25,2026-05-14,good
42,1,SE-LT-01-000042,2022-04-03,2026-02-22,good
43,1,SE-LT-01-000043,2018-03-01,2025-12-14,good
44,1,SE-LT-01-000044,2018-02-28,2025-12-28,fair
45,1,SE-LT-01-000045,2025-12-23,2026-03-12,fair
46,1,SE-LT-01-000046,2018-01-25,2026-02-15,fair
47,1,SE-LT-01-000047,2017-09-16,2025-11-20,good
48,1,SE-LT-01-000048,2026-01-06,2026-03-18,good
49,1,SE-LT-01-000049,2017-11-20,2026-03-14,good
50,1,SE-LT-01-000050,2018-02-06,2026-03-24,good
51,1,SE-LT-01-000051,2026-03-22,2026-04-14,good
52,1,SE-LT-01-000052,2017-12-20,2026-04-16,good
53,1,SE-LT-01-000053,2019-09-11,2026-05-09,fair
54,1,SE-LT-01-000054,2018-09-10,2025-11-04,good
55,1,SE-LT-01-000055,2018-04-08,2026-05-08,good
56,1,FI-LT-01-000056,2025-07-14,2026-04-06,good
57,1,FI-LT-01-000057,2020-05-17,2025-12-13,good
58,1,FI-LT-01-000058,2018-03-04,2026-01-18,good
59,1,FI-LT-01-000059,2023-07-17,2026-04-27,good
60,1,FI-LT-01-000060,2019-01-02,2025-12-08,good
61,1,FI-LT-01-000061,2018-02-17,2026-01-23,good
62,1,FI-LT-01-000062,2021-06-24,2026-02-21,fair
63,1,FI-LT-01-000063,2025-07-05,2025-11-27,good
64,1,FI-LT-01-000064,2023-03-21,2026-02-28,good
65,1,FI-LT-01-000065,2019-05-22,2026-03-13,poor
66,1,FI-LT-01-000066,2018-12-04,2026-05-11,good
67,1,FI-LT-01-000067,2019-05-05,2026-04-30,good
68,1,FI-LT-01-000068,2018-01-13,2025-11-15,poor
69,1,FI-LT-01-000069,2018-10-14,2026-05-25,poor
70,1,FI-LT-01-000070,2025-07-08,2025-10-25,good
71,1,FI-LT-01-000071,2018-12-12,2026-04-23,fair
72,1,FI-LT-01-000072,2018-06-18,2025-12-25,fair
73,1,FI-LT-01-000073,2018-11-15,2026-05-16,fair
74,1,FI-LT-01-000074,2020-11-04,2026-01-15,good
75,1,FI-LT-01-000075,2017-07-07,2025-11-02,good
76,1,FI-LT-01-000076,2017-12-04,2026-02-15,good
77,1,FI-LT-01-000077,2017-10-01,2026-02-10,fair
78,1,FI-LT-01-000078,2019-07-16,2025-11-06,fair
79,1,FI-LT-01-000079,2019-01-09,2026-01-31,good
80,1,FI-LT-01-000080,2019-11-04,2026-03-17,fair
81,1,FI-LT-01-000081,2019-06-25,2026-05-01,fair
82,1,FI-LT-01-000082,2019-06-21,2025-11-29,good
83,1,FI-LT-01-000083,2018-08-21,2026-02-04,fair
84,1,FI-LT-01-000084,2019-07-26,2026-02-02,fair
85,1,FI-LT-01-000085,2022-10-11,2026-02-26,good
86,1,FI-LT-01-000086,2022-01-12,2026-05-10,fair
87,1,FI-LT-01-000087,2022-01-26,2025-12-03,good
88,1,FI-LT-01-000088,2026-03-11,2026-04-23,good
89,1,FI-LT-01-000089,2019-07-12,2025-10-25,good
90,1,FI-LT-01-000090,2018-01-03,2026-01-29,good
91,1,FI-LT-01-000091,2018-05-24,2026-03-02,good
92,1,FI-LT-01-000092,2021-12-20,2025-11-22,fair
93,1,FI-LT-01-000093,2018-07-15,2026-05-08,good
94,1,FI-LT-01-000094,2022-10-22,2026-04-04,fair
95,1,FI-LT-01-000095,2020-08-14,2025-11-28,good
96,1,FI-LT-01-000096,2017-06-30,2026-03-24,good
97,1,FI-LT-01-000097,2021-09-06,2026-01-18,good
98,1,FI-LT-01-000098,2019-01-25,2026-02-05,poor
99,1,FI-LT-01-000099,2017-09-30,2026-03-19,good
100,1,FI-LT-01-000100,2019-03-05,2025-12-29,fair
101,1,FI-LT-01-000101,2018-06-22,2025-11-25,good
102,1,FI-LT-01-000102,2018-12-09,2026-01-09,good
103,1,FI-LT-01-000103,2021-02-08,2026-02-14,good
104,1,FI-LT-01-000104,2022-08-24,2026-02-06,poor
105,1,FI-LT-01-000105,2018-11-11,2025-12-16,good
106,1,FI-LT-01-000106,2017-06-01,2026-01-23,good
107,1,FI-LT-01-000107,2019-11-05,2025-11-29,good
108,1,FI-LT-01-000108,2024-09-17,2025-11-12,good
109,1,FI-LT-01-000109,2018-01-23,2026-03-29,fair
110,1,FI-LT-01-000110,2019-11-05,2026-02-14,good
111,1,DE-LT-01-000111,2019-09-17,2026-03-19,good
112,1,DE-LT-01-000112,2018-02-22,2026-01-14,good
113,1,DE-LT-01-000113,2018-05-18,2026-05-30,fair
114,1,DE-LT-01-000114,2021-11-18,2025-12-11,poor
115,1,DE-LT-01-000115,2017-09-30,2026-02-01,fair
116,1,DE-LT-01-000116,2019-06-28,2026-03-14,fair
117,1,DE-LT-01-000117,2018-01-29,2026-04-04,good
118,1,DE-LT-01-000118,2018-10-19,2026-03-25,fair
119,1,DE-LT-01-000119,2018-03-14,2025-12-10,good
120,1,DE-LT-01-000120,2026-03-26,2026-04-25,fair
121,1,DE-LT-01-000121,2025-05-27,2026-04-08,fair
122,1,DE-LT-01-000122,2017-10-05,2025-10-30,good
123,1,DE-LT-01-000123,2023-01-19,2026-02-02,poor
124,1,DE-LT-01-000124,2019-01-18,2025-12-07,good
125,1,DE-LT-01-000125,2017-10-21,2026-02-11,good
126,1,DE-LT-01-000126,2018-07-21,2025-11-17,fair
127,1,DE-LT-01-000127,2018-08-12,2026-01-07,good
128,1,DE-LT-01-000128,2017-08-10,2026-01-06,good
129,1,DE-LT-01-000129,2025-11-04,2026-01-17,good
130,1,DE-LT-01-000130,2018-06-21,2026-01-13,fair
131,1,DE-LT-01-000131,2017-12-14,2026-04-21,fair
132,1,DE-LT-01-000132,2021-05-14,2026-03-04,fair
133,1,DE-LT-01-000133,2019-06-16,2025-11-29,good
134,1,DE-LT-01-000134,2020-11-27,2025-11-20,good
135,1,DE-LT-01-000135,2026-01-02,2026-01-16,good
136,1,DE-LT-01-000136,2023-08-19,2026-04-20,good
137,1,DE-LT-01-000137,2017-07-15,2025-12-06,fair
138,1,DE-LT-01-000138,2017-11-02,2026-02-02,good
139,1,DE-LT-01-000139,2018-07-23,2025-11-20,good
140,1,DE-LT-01-000140,2022-03-29,2026-05-23,good
141,1,DE-LT-01-000141,2018-04-24,2025-12-17,good
142,1,DE-LT-01-000142,2017-10-16,2026-02-08,good
143,1,DE-LT-01-000143,2017-10-07,2026-01-12,fair
144,1,DE-LT-01-000144,2019-11-17,2026-04-05,good
145,1,DE-LT-01-000145,2019-07-05,2026-01-12,good
146,1,DE-LT-01-000146,2019-09-23,2025-12-11,good
147,1,DE-LT-01-000147,2017-12-31,2026-02-11,fair
148,1,DE-LT-01-000148,2020-11-28,2025-10-31,fair
149,1,DE-LT-01-000149,2024-12-02,2026-01-30,good
150,1,DE-LT-01-000150,2018-12-21,2026-05-14,good
151,1,DE-LT-01-000151,2018-06-01,2026-01-06,good
152,1,DE-LT-01-000152,2019-01-13,2026-04-15,good
153,1,DE-LT-01-000153,2020-04-02,2026-01-09,good
154,1,DE-LT-01-000154,2025-08-09,2026-04-23,good
155,1,DE-LT-01-000155,2019-04-26,2026-02-09,good
156,1,DE-LT-01-000156,2019-09-11,2025-10-27,good
157,1,DE-LT-01-000157,2017-08-07,2025-12-26,good
158,1,DE-LT-01-000158,2020-03-01,2026-02-27,fair
159,1,DE-LT-01-000159,2023-06-21,2025-11-25,good
160,1,DE-LT-01-000160,2018-06-05,2026-01-10,good
161,1,DE-LT-01-000161,2019-11-24,2026-03-06,good
162,1,DE-LT-01-000162,2022-05-12,2025-11-14,good
163,1,DE-LT-01-000163,2017-12-11,2025-12-13,good
164,1,DE-LT-01-000164,2025-10-19,2026-02-25,good
165,1,DE-LT-01-000165,2018-09-23,2026-04-03,good
166,2,SE-LT-02-000166,2018-02-24,2026-04-11,fair
167,2,SE-LT-02-000167,2019-06-13,2025-12-09,fair
168,2,SE-LT-02-000168,2020-08-16,2026-03-25,good
169,2,SE-LT-02-000169,2018-04-11,2026-01-06,good
170,2,SE-LT-02-000170,2018-01-03,2025-12-12,poor
171,2,SE-LT-02-000171,2017-09-03,2026-01-17,good
172,2,SE-LT-02-000172,2018-04-05,2026-01-26,good
173,2,SE-LT-02-000173,2018-06-04,2026-03-04,good
174,2,SE-LT-02-000174,2017-07-21,2025-12-10,good
175,2,SE-LT-02-000175,2024-01-19,2026-02-04,good
176,2,SE-LT-02-000176,2018-12-11,2025-12-21,good
177,2,SE-LT-02-000177,2018-04-21,2026-01-11,fair
178,2,SE-LT-02-000178,2020-07-23,2025-11-04,good
179,2,SE-LT-02-000179,2019-09-15,2025-11-05,fair
180,2,SE-LT-02-000180,2018-03-17,2026-04-03,fair
181,2,SE-LT-02-000181,2018-08-17,2025-10-29,good
182,2,SE-LT-02-000182,2020-05-13,2026-01-22,good
183,2,SE-LT-02-000183,2018-09-12,2025-11-18,good
184,2,SE-LT-02-000184,2024-06-18,2025-11-21,fair
185,2,SE-LT-02-000185,2017-09-28,2026-03-18,poor
186,2,SE-LT-02-000186,2026-03-31,2026-04-11,good
187,2,SE-LT-02-000187,2025-04-18,2025-11-28,good
188,2,SE-LT-02-000188,2019-08-08,2026-02-05,poor
189,2,SE-LT-02-000189,2018-07-04,2025-11-09,poor
190,2,SE-LT-02-000190,2022-12-02,2026-03-11,good
191,2,SE-LT-02-000191,2023-11-20,2026-02-28,good
192,2,SE-LT-02-000192,2018-11-07,2026-04-19,good
193,2,SE-LT-02-000193,2018-03-24,2026-04-08,good
194,2,SE-LT-02-000194,2019-01-14,2025-11-05,good
195,2,SE-LT-02-000195,2018-04-09,2026-03-22,fair
196,2,SE-LT-02-000196,2024-06-02,2026-03-07,good
197,2,SE-LT-02-000197,2018-12-11,2025-11-17,good
198,2,SE-LT-02-000198,2017-10-06,2026-01-18,good
199,2,SE-LT-02-000199,2023-10-25,2026-05-30,good
200,2,SE-LT-02-000200,2019-11-12,2026-02-16,good
201,2,SE-LT-02-000201,2017-08-01,2025-11-02,fair
202,2,SE-LT-02-000202,2018-04-18,2026-03-04,fair
203,2,SE-LT-02-000203,2017-11-06,2026-04-11,good
204,2,SE-LT-02-000204,2025-10-03,2026-04-01,fair
205,2,SE-LT-02-000205,2019-01-20,2026-05-27,good
206,2,SE-LT-02-000206,2019-08-22,2025-12-26,good
207,2,SE-LT-02-000207,2017-08-01,2026-02-04,fair
208,2,SE-LT-02-000208,2023-01-20,2025-12-16,good
209,2,SE-LT-02-000209,2018-01-14,2026-02-27,good
210,2,SE-LT-02-000210,2018-01-11,2026-02-23,good
211,2,SE-LT-02-000211,2020-10-20,2026-04-24,good
212,2,SE-LT-02-000212,2018-04-20,2026-01-23,fair
213,2,SE-LT-02-000213,2019-02-13,2026-01-23,good
214,2,SE-LT-02-000214,2024-03-24,2026-04-15,good
215,2,SE-LT-02-000215,2018-09-27,2026-04-19,good
216,2,FI-LT-02-000216,2022-01-14,2026-05-20,good
217,2,FI-LT-02-000217,2023-09-14,2025-11-18,good
218,2,FI-LT-02-000218,2018-06-09,2026-03-29,good
219,2,FI-LT-02-000219,2019-07-14,2025-11-27,good
220,2,FI-LT-02-000220,2018-04-08,2026-02-04,good
221,2,FI-LT-02-000221,2019-10-22,2026-01-13,good
222,2,FI-LT-02-000222,2021-12-11,2026-04-07,fair
223,2,FI-LT-02-000223,2026-01-06,2026-05-16,good
224,2,FI-LT-02-000224,2020-11-01,2025-11-08,good
225,2,FI-LT-02-000225,2019-07-24,2026-05-24,good
226,2,FI-LT-02-000226,2018-09-17,2026-02-22,good
227,2,FI-LT-02-000227,2021-03-13,2026-01-14,good
228,2,FI-LT-02-000228,2020-01-17,2025-10-27,good
229,2,FI-LT-02-000229,2019-03-01,2026-04-01,fair
230,2,FI-LT-02-000230,2021-08-09,2026-04-22,good
231,2,FI-LT-02-000231,2019-09-06,2025-10-27,good
232,2,FI-LT-02-000232,2022-10-23,2026-05-18,good
233,2,FI-LT-02-000233,2017-10-04,2026-05-26,good
234,2,FI-LT-02-000234,2019-07-07,2025-12-14,good
235,2,FI-LT-02-000235,2018-12-22,2026-04-30,good
236,2,FI-LT-02-000236,2022-07-08,2025-11-17,good
237,2,FI-LT-02-000237,2025-10-29,2025-11-28,good
238,2,FI-LT-02-000238,2018-01-13,2026-05-16,good
239,2,FI-LT-02-000239,2017-11-25,2026-02-18,good
240,2,FI-LT-02-000240,2026-02-09,2026-02-25,good
241,2,FI-LT-02-000241,2020-05-13,2026-05-09,poor
242,2,FI-LT-02-000242,2022-04-15,2026-05-07,good
243,2,FI-LT-02-000243,2019-05-06,2025-12-23,good
244,2,FI-LT-02-000244,2019-04-17,2026-04-12,good
245,2,FI-LT-02-000245,2019-10-07,2026-05-20,good
246,2,FI-LT-02-000246,2020-11-02,2025-12-20,good
247,2,FI-LT-02-000247,2019-04-24,2026-03-27,poor
248,2,FI-LT-02-000248,2019-11-16,2026-03-20,good
249,2,FI-LT-02-000249,2018-03-19,2026-02-03,good
250,2,FI-LT-02-000250,2018-11-26,2026-04-11,good
251,2,FI-LT-02-000251,2018-12-08,2025-12-10,good
252,2,FI-LT-02-000252,2017-07-13,2025-12-01,good
253,2,FI-LT-02-000253,2019-07-02,2026-01-01,poor
254,2,FI-LT-02-000254,2026-03-25,2026-04-18,fair
255,2,FI-LT-02-000255,2019-10-05,2025-11-17,fair
256,2,FI-LT-02-000256,2018-07-09,2025-12-18,poor
257,2,FI-LT-02-000257,2022-08-28,2026-05-01,good
258,2,FI-LT-02-000258,2025-04-14,2026-01-05,good
259,2,FI-LT-02-000259,2022-04-08,2026-01-15,fair
260,2,FI-LT-02-000260,2019-07-06,2025-11-20,poor
261,2,FI-LT-02-000261,2018-12-12,2026-04-01,fair
262,2,FI-LT-02-000262,2019-08-29,2026-02-01,fair
263,2,FI-LT-02-000263,2019-01-07,2025-12-04,good
264,2,FI-LT-02-000264,2025-01-06,2025-11-16,good
265,2,FI-LT-02-000265,2018-03-03,2025-12-25,good
266,2,DE-LT-02-000266,2019-03-08,2026-04-07,good
267,2,DE-LT-02-000267,2018-01-28,2026-02-15,good
268,2,DE-LT-02-000268,2021-02-11,2026-05-24,fair
269,2,DE-LT-02-000269,2021-07-17,2026-03-28,good
270,2,DE-LT-02-000270,2017-10-23,2026-03-10,good
271,2,DE-LT-02-000271,2024-12-18,2026-03-25,fair
272,2,DE-LT-02-000272,2018-08-22,2025-10-30,fair
273,2,DE-LT-02-000273,2017-11-18,2026-05-17,good
274,2,DE-LT-02-000274,2019-10-19,2026-03-01,good
275,2,DE-LT-02-000275,2018-10-16,2026-01-03,good
276,2,DE-LT-02-000276,2024-02-26,2026-04-06,fair
277,2,DE-LT-02-000277,2023-05-08,2026-05-27,good
278,2,DE-LT-02-000278,2025-09-03,2025-12-08,poor
279,2,DE-LT-02-000279,2024-03-20,2026-05-11,good
280,2,DE-LT-02-000280,2017-07-22,2026-04-03,good
281,2,DE-LT-02-000281,2018-03-08,2025-11-06,good
282,2,DE-LT-02-000282,2019-11-18,2026-04-28,good
283,2,DE-LT-02-000283,2019-04-30,2025-12-19,good
284,2,DE-LT-02-000284,2022-06-17,2026-02-16,good
285,2,DE-LT-02-000285,2019-05-30,2026-03-08,good
286,2,DE-LT-02-000286,2018-08-01,2025-12-18,good
287,2,DE-LT-02-000287,2018-07-05,2026-04-28,fair
288,2,DE-LT-02-000288,2020-04-21,2025-11-25,fair
289,2,DE-LT-02-000289,2019-01-30,2026-03-21,good
290,2,DE-LT-02-000290,2023-08-28,2026-04-02,fair
291,2,DE-LT-02-000291,2018-07-10,2026-03-15,fair
292,2,DE-LT-02-000292,2017-11-17,2026-02-19,good
293,2,DE-LT-02-000293,2019-09-29,2026-03-23,fair
294,2,DE-LT-02-000294,2018-06-16,2026-01-02,good
295,2,DE-LT-02-000295,2018-08-21,2026-03-01,good
296,2,DE-LT-02-000296,2018-12-18,2026-04-02,good
297,2,DE-LT-02-000297,2025-07-16,2025-12-28,good
298,2,DE-LT-02-000298,2019-07-07,2026-04-15,good
299,2,DE-LT-02-000299,2018-03-22,2026-04-19,fair
300,2,DE-LT-02-000300,2018-07-05,2026-01-28,fair
301,2,DE-LT-02-000301,2018-03-05,2026-01-25,fair
302,2,DE-LT-02-000302,2024-04-23,2026-04-09,good
303,2,DE-LT-02-000303,2019-07-14,2026-03-24,good
304,2,DE-LT-02-000304,2017-09-09,2025-12-14,good
305,2,DE-LT-02-000305,2021-05-20,2025-11-07,fair
306,2,DE-LT-02-000306,2018-05-13,2026-05-26,good
307,2,DE-LT-02-000307,2019-10-19,2026-05-24,poor
308,2,DE-LT-02-000308,2023-02-04,2026-02-23,good
309,2,DE-LT-02-000309,2025-08-03,2025-12-11,fair
310,2,DE-LT-02-000310,2019-07-15,2026-02-15,poor
311,2,DE-LT-02-000311,2025-05-24,2025-10-25,good
312,2,DE-LT-02-000312,2023-08-07,2026-04-24,good
313,2,DE-LT-02-000313,2019-03-19,2026-01-27,good
314,2,DE-LT-02-000314,2021-12-22,2026-01-03,good
315,2,DE-LT-02-000315,2019-07-28,2025-10-27,fair
316,3,SE-LT-03-000316,2022-09-15,2026-02-11,fair
317,3,SE-LT-03-000317,2019-01-08,2025-11-26,good
318,3,SE-LT-03-000318,2018-09-17,2026-02-15,fair
319,3,SE-LT-03-000319,2019-07-11,2026-04-17,fair
320,3,SE-LT-03-000320,2026-01-07,2026-03-11,good
321,3,SE-LT-03-000321,2019-07-20,2026-04-19,good
322,3,SE-LT-03-000322,2019-01-24,2026-02-17,good
323,3,SE-LT-03-000323,2019-05-21,2025-12-17,fair
324,3,SE-LT-03-000324,2017-12-12,2025-12-11,fair
325,3,SE-LT-03-000325,2025-10-24,2026-02-09,poor
326,3,SE-LT-03-000326,2018-03-09,2025-12-30,poor
327,3,SE-LT-03-000327,2017-07-10,2025-12-13,good
328,3,SE-LT-03-000328,2019-04-16,2026-03-08,good
329,3,SE-LT-03-000329,2018-10-24,2026-01-19,good
330,3,SE-LT-03-000330,2018-11-30,2026-05-02,good
331,3,SE-LT-03-000331,2024-10-25,2025-12-31,fair
332,3,SE-LT-03-000332,2019-10-06,2025-11-09,good
333,3,SE-LT-03-000333,2018-09-27,2026-01-14,good
334,3,SE-LT-03-000334,2018-06-12,2026-04-09,fair
335,3,SE-LT-03-000335,2019-07-31,2026-03-23,good
336,3,SE-LT-03-000336,2019-09-21,2026-01-09,good
337,3,SE-LT-03-000337,2019-04-23,2026-02-15,poor
338,3,SE-LT-03-000338,2021-09-24,2026-04-10,good
339,3,FI-LT-03-000339,2024-03-24,2026-02-24,fair
340,3,FI-LT-03-000340,2024-03-11,2026-04-25,good
341,3,FI-LT-03-000341,2020-02-26,2025-12-13,good
342,3,FI-LT-03-000342,2018-12-22,2026-03-24,good
343,3,FI-LT-03-000343,2019-03-16,2026-03-21,fair
344,3,FI-LT-03-000344,2017-11-26,2026-01-21,good
345,3,FI-LT-03-000345,2019-02-20,2026-05-24,fair
346,3,FI-LT-03-000346,2018-10-06,2026-04-21,good
347,3,FI-LT-03-000347,2018-12-18,2026-03-21,good
348,3,FI-LT-03-000348,2017-09-13,2026-01-10,good
349,3,FI-LT-03-000349,2020-03-18,2025-10-25,fair
350,3,FI-LT-03-000350,2019-04-09,2026-05-21,fair
351,3,FI-LT-03-000351,2019-08-07,2025-11-17,fair
352,3,FI-LT-03-000352,2018-11-11,2026-02-09,fair
353,3,FI-LT-03-000353,2018-09-28,2025-11-13,good
354,3,FI-LT-03-000354,2018-11-25,2025-12-28,fair
355,3,FI-LT-03-000355,2019-06-17,2026-03-14,good
356,3,FI-LT-03-000356,2019-08-05,2026-01-21,good
357,3,FI-LT-03-000357,2018-05-11,2025-12-25,fair
358,3,FI-LT-03-000358,2018-12-10,2026-05-24,good
359,3,FI-LT-03-000359,2023-05-11,2026-05-05,good
360,3,FI-LT-03-000360,2019-06-07,2026-04-21,good
361,3,FI-LT-03-000361,2026-02-16,2026-05-16,fair
362,3,DE-LT-03-000362,2018-07-14,2025-10-26,good
363,3,DE-LT-03-000363,2020-12-28,2025-11-10,good
364,3,DE-LT-03-000364,2018-09-22,2025-12-08,fair
365,3,DE-LT-03-000365,2020-11-08,2025-11-30,fair
366,3,DE-LT-03-000366,2018-07-07,2026-04-22,good
367,3,DE-LT-03-000367,2023-10-22,2026-01-25,good
368,3,DE-LT-03-000368,2022-08-23,2026-04-21,good
369,3,DE-LT-03-000369,2017-08-15,2026-02-12,fair
370,3,DE-LT-03-000370,2018-06-04,2026-01-22,good
371,3,DE-LT-03-000371,2021-12-18,2026-05-21,good
372,3,DE-LT-03-000372,2017-08-09,2026-03-03,good
373,3,DE-LT-03-000373,2018-06-23,2026-03-15,fair
374,3,DE-LT-03-000374,2017-07-03,2026-05-10,fair
375,3,DE-LT-03-000375,2021-07-14,2026-02-09,fair
376,3,DE-LT-03-000376,2017-10-30,2026-05-11,poor
377,3,DE-LT-03-000377,2018-10-01,2026-04-10,good
378,3,DE-LT-03-000378,2017-06-06,2026-02-24,good
379,3,DE-LT-03-000379,2019-01-28,2026-03-15,good
380,3,DE-LT-03-000380,2018-05-08,2025-12-16,good
381,3,DE-LT-03-000381,2018-04-26,2026-04-21,good
382,3,DE-LT-03-000382,2017-12-25,2026-03-17,fair
383,3,DE-LT-03-000383,2019-02-14,2026-01-21,good
384,3,DE-LT-03-000384,2019-05-20,2026-02-20,good
385,4,SE-LT-04-000385,2020-01-25,2026-04-15,good
386,4,SE-LT-04-000386,2018-12-31,2025-11-29,fair
387,4,SE-LT-04-000387,2017-07-28,2025-12-08,good
388,4,SE-LT-04-000388,2017-09-29,2026-04-23,good
389,4,SE-LT-04-000389,2018-05-16,2026-03-23,good
390,4,SE-LT-04-000390,2024-05-28,2026-04-12,poor
391,4,SE-LT-04-000391,2022-01-15,2026-03-29,good
392,4,SE-LT-04-000392,2018-12-19,2026-01-09,good
393,4,SE-LT-04-000393,2021-05-12,2026-04-05,good
394,4,SE-LT-04-000394,2017-11-12,2025-11-15,good
395,4,SE-LT-04-000395,2024-03-19,2026-05-06,good
396,4,SE-LT-04-000396,2018-04-23,2026-02-05,good
397,4,SE-LT-04-000397,2018-07-20,2025-11-08,good
398,4,SE-LT-04-000398,2017-10-06,2026-01-26,good
399,4,SE-LT-04-000399,2019-05-20,2026-03-18,good
400,4,SE-LT-04-000400,2017-06-01,2025-10-26,good
401,4,SE-LT-04-000401,2017-10-06,2026-02-09,good
402,4,SE-LT-04-000402,2017-08-07,2026-04-25,good
403,4,SE-LT-04-000403,2019-01-31,2025-12-31,good
404,4,SE-LT-04-000404,2018-01-24,2026-04-11,poor
405,4,FI-LT-04-000405,2017-07-08,2026-02-23,good
406,4,FI-LT-04-000406,2019-04-23,2025-11-03,good
407,4,FI-LT-04-000407,2018-02-23,2025-12-25,good
408,4,FI-LT-04-000408,2022-05-09,2025-12-12,good
409,4,FI-LT-04-000409,2026-03-31,2026-05-15,good
410,4,FI-LT-04-000410,2018-06-19,2026-05-19,good
411,4,FI-LT-04-000411,2018-07-16,2026-01-06,good
412,4,FI-LT-04-000412,2018-07-27,2025-11-30,fair
413,4,FI-LT-04-000413,2018-07-08,2026-03-07,fair
414,4,FI-LT-04-000414,2021-08-29,2026-03-17,poor
415,4,FI-LT-04-000415,2019-05-04,2025-12-13,good
416,4,FI-LT-04-000416,2017-11-11,2026-03-17,fair
417,4,FI-LT-04-000417,2024-11-02,2026-01-30,good
418,4,FI-LT-04-000418,2019-08-01,2026-02-10,good
419,4,FI-LT-04-000419,2024-09-14,2025-12-02,good
420,4,FI-LT-04-000420,2018-04-10,2026-05-09,good
421,4,FI-LT-04-000421,2017-05-31,2025-12-23,good
422,4,FI-LT-04-000422,2018-03-25,2026-03-14,fair
423,4,FI-LT-04-000423,2019-04-08,2026-02-15,good
424,4,FI-LT-04-000424,2024-10-27,2026-04-28,good
425,4,DE-LT-04-000425,2019-05-03,2026-01-12,good
426,4,DE-LT-04-000426,2018-06-06,2026-05-22,good
427,4,DE-LT-04-000427,2019-11-26,2026-03-01,poor
428,4,DE-LT-04-000428,2019-09-23,2025-11-29,fair
429,4,DE-LT-04-000429,2017-09-03,2025-11-17,fair
430,4,DE-LT-04-000430,2018-02-08,2026-02-08,fair
431,4,DE-LT-04-000431,2017-08-11,2025-12-06,fair
432,4,DE-LT-04-000432,2019-10-27,2025-11-16,fair
433,4,DE-LT-04-000433,2019-09-30,2025-11-15,fair
434,4,DE-LT-04-000434,2018-01-29,2026-03-18,good
435,4,DE-LT-04-000435,2019-10-14,2026-01-26,good
436,4,DE-LT-04-000436,2023-06-17,2026-02-01,good
437,4,DE-LT-04-000437,2025-03-07,2026-05-14,fair
438,4,DE-LT-04-000438,2023-11-04,2026-03-13,good
439,4,DE-LT-04-000439,2017-09-26,2026-03-20,good
440,4,DE-LT-04-000440,2018-07-06,2026-02-08,poor
441,4,DE-LT-04-000441,2018-07-05,2026-02-04,fair
442,4,DE-LT-04-000442,2018-11-03,2026-01-06,poor
443,4,DE-LT-04-000443,2017-11-23,2025-10-25,good
444,4,DE-LT-04-000444,2021-12-26,2025-12-16,poor
